IPO Date,Symbol,Company Name,IPO Price,Current,Return,Sector,Industry,Country
"Oct 21, 2020",SRSA,Sarissa Capital Acquisition Corp.,10,9.88,-0.012,Blank Check / SPAC,Blank Check / SPAC,United States
"Oct 21, 2020",SPNV,"Supernova Partners Acquisition Company, Inc.",10,8.8,0.088,Blank Check / SPAC,Blank Check / SPAC,
"Oct 21, 2020",XPOA,"DPCM Capital, Inc.",10,9.9,-0.010,Blank Check / SPAC,Blank Check / SPAC,United States
"Oct 21, 2020",HIGA,H.I.G. Acquisition Corp.,10,9.89,-0.011,Blank Check / SPAC,Blank Check / SPAC,United States
"Oct 21, 2020",LFTR,Lefteris Acquisition Corp.,10,9.87,-0.013,Blank Check / SPAC,Blank Check / SPAC,United States
"Oct 20, 2020",GWAC,Good Works Acquisition Corp.,10,10.5,0.105,Blank Check / SPAC,Blank Check / SPAC,
"Oct 20, 2020",DCRB,Decarbonization Plus Acquisition Corporation,10,10.33,0.103,Blank Check / SPAC,Blank Check / SPAC,
"Oct 20, 2020",HLXA,Helix Acquisition Corp.,10,13.25,0.325,Blank Check / SPAC,Blank Check / SPAC,United States
"Oct 20, 2020",HZON,Horizon Acquisition Corporation II,10,9.905,-0.009,Blank Check / SPAC,Blank Check / SPAC,United States
"Oct 16, 2020",PRAX,"Praxis Precision Medicines, Inc.",19,8.61,-0.547,Health Care,Biotechnology,United States
"Oct 16, 2020",EAR,"Eargo, Inc.",18,3.55,-0.803,Health Care,Medical Devices,United States
"Oct 16, 2020",TMPM,Turmeric Acquisition Corp.,10,9.87,-0.013,Blank Check / SPAC,Blank Check / SPAC,United States
"Oct 16, 2020",KRBP,"Kiromic BioPharma, Inc.",12,0.63,-0.948,Health Care,Biotechnology,United States
"Oct 16, 2020",OPT,Opthea Limited,13.5,6.15,-0.544,Health Care,Biotechnology,Australia
"Oct 16, 2020",BTWN,Bridgetown Holdings Limited,10,9.89,-0.011,Blank Check / SPAC,Blank Check / SPAC,United States
"Oct 16, 2020",ALGS,"Aligos Therapeutics, Inc.",15,1.41,-0.906,Health Care,Biotechnology,United States
"Oct 16, 2020",TARS,"Tarsus Pharmaceuticals, Inc.",16,17.96,0.122,Health Care,Biotechnology,United States
"Oct 15, 2020",MOTN,Motion Acquisition Corp.,10,10.25,0.102,Blank Check / SPAC,Blank Check / SPAC,
"Oct 15, 2020",EBC,"Eastern Bankshares, Inc.",10,20.78,1.078,Financials,Banks,United States
"Oct 15, 2020",TMTS,Spartacus Acquisition Corporation,10,10.86,0.109,Blank Check / SPAC,Blank Check / SPAC,
"Oct 15, 2020",MNSO,Miniso Group Holding Limited,20,7.58,-0.621,Consumer Cyclical,Specialty Retail,China
"Oct 15, 2020",ARRY,"Array Technologies, Inc.",22,7.05,-0.679,Technology,Solar,United States
"Oct 14, 2020",CDAK,"Codiak BioSciences, Inc.",15,3.44,-0.771,Health Care,Biotechnology,United States
"Oct 14, 2020",FVAM,5:01 Acquisition Corp.,10,9.86,-0.014,Blank Check / SPAC,Blank Check / SPAC,United States
"Oct 9, 2020",IPOD,Social Capital Hedosophia Holdings Corp. IV,10,10.23,0.023,Blank Check / SPAC,Blank Check / SPAC,United States
"Oct 9, 2020",KRON,"Kronos Bio, Inc.",19,5.3,-0.721,Health Care,Biotechnology,United States
"Oct 9, 2020",INTZ,"Intrusion, Inc.",8,1.87,-0.766,Information Technology,Software,United States
"Oct 9, 2020",STTK,"Shattuck Labs, Inc.",17,4.05,-0.762,Health Care,Biotechnology,United States
"Oct 9, 2020",IPOE,Social Capital Hedosophia Holdings Corp. V,10,20.15,0.201,Blank Check / SPAC,Blank Check / SPAC,
"Oct 9, 2020",IH,"iHuman, Inc.",12,3.105,-0.741,Consumer Defensive,Education & Training Services,United States
"Oct 9, 2020",SPRB,"Spruce Biosciences, Inc.",15,2.01,-0.866,Health Care,Biotechnology,United States
